cpu,memory,disk,label
66.7,40.4,14.2,Medium
42.4,40.9,14.2,Medium
31.1,41.0,14.2,Medium
23.0,41.0,14.2,Light
19.3,40.8,14.2,Light
22.2,40.8,14.2,Light
12.4,40.7,14.2,Light
9.6,40.7,14.2,Light
8.6,40.6,14.2,Light
6.4,40.6,14.2,Light
13.7,40.6,14.2,Light
8.2,40.5,14.2,Light
10.7,40.5,14.2,Light
8.9,40.5,14.2,Light
9.0,40.4,14.2,Light
7.1,40.4,14.2,Light
8.2,40.4,14.2,Light
8.0,40.4,14.2,Light
7.4,40.4,14.2,Light
8.4,40.4,14.2,Light
8.0,40.4,14.2,Light
7.1,40.3,14.2,Light
10.0,40.3,14.2,Light
7.8,40.3,14.2,Light
7.1,40.4,14.2,Light
7.7,40.4,14.2,Light
7.4,40.4,14.2,Light
7.9,40.4,14.2,Light
8.4,40.4,14.2,Light
6.6,40.4,14.2,Light
